prompt_identifier,Models_Answered,Avg_Response_Length,Avg_Latency_ms,Avg_Tokens,Total_Cost_USD,Completion_Rate_%
aita_300,16,2750.12,16363.25,1353.25,0.1,100.0
aita_301,16,2367.12,23983.94,1556.81,0.1,100.0
aita_302,16,2727.25,20423.44,1579.81,0.1,100.0
aita_303,16,2723.31,18389.31,1443.19,0.11,100.0
aita_304,16,3194.25,26133.5,1525.62,0.12,100.0
aita_305,16,2680.94,18653.62,1222.56,0.09,100.0
aita_306,16,2860.31,22439.88,1534.69,0.11,100.0
aita_307,16,2173.62,17613.12,1324.44,0.1,100.0
aita_308,16,2657.62,21110.44,1679.19,0.1,100.0
aita_309,16,2537.31,20705.5,1401.75,0.1,100.0
aita_310,16,2354.88,19839.5,1116.06,0.09,100.0
aita_311,16,2499.44,24798.25,1950.31,0.13,100.0
aita_312,16,2926.25,29503.38,1718.81,0.13,100.0
aita_313,16,1936.75,13099.62,926.31,0.08,100.0
aita_314,16,2905.69,16559.25,1445.25,0.11,100.0
aita_315,16,3409.06,24423.62,1841.81,0.12,100.0
aita_316,16,1914.94,14690.56,1009.12,0.07,100.0
aita_317,16,2267.94,19200.75,1303.56,0.1,100.0
aita_318,16,2744.88,17831.88,1457.0,0.11,100.0
aita_319,16,3026.94,29128.25,2171.31,0.12,100.0
aita_320,16,2736.75,24727.25,1756.69,0.13,100.0
aita_321,16,2420.31,19922.94,1475.56,0.1,100.0
aita_322,16,3381.25,20465.94,1486.06,0.11,100.0
aita_323,16,2588.62,16591.75,1258.19,0.1,100.0
aita_324,16,2590.69,20688.81,1460.12,0.11,100.0
aita_325,16,2572.12,19384.56,1491.25,0.1,100.0
aita_326,16,2773.88,23938.12,1566.06,0.1,100.0
aita_327,16,2497.19,16750.81,1228.19,0.09,100.0
aita_328,16,1948.38,17205.38,1242.69,0.1,100.0
aita_329,16,3052.06,19435.69,1473.25,0.11,100.0
aita_330,16,2931.38,25748.12,1795.12,0.12,100.0
aita_331,16,3903.88,23917.56,1762.75,0.12,100.0
aita_332,16,2177.94,16472.69,1138.19,0.08,100.0
aita_333,16,2201.44,15007.88,1083.44,0.08,100.0
aita_334,16,3197.88,29385.94,1496.81,0.11,100.0
aita_335,16,2793.75,19116.56,1456.81,0.11,100.0
aita_336,16,2016.75,14153.5,1064.06,0.09,100.0
aita_337,16,1739.62,14297.94,916.56,0.08,100.0
aita_338,16,2899.81,19730.12,1439.88,0.11,100.0
aita_339,16,2057.62,15076.44,1264.5,0.09,100.0
aita_340,16,1995.88,17681.38,1386.88,0.1,100.0
aita_341,16,1956.81,19223.0,1177.31,0.09,100.0
aita_342,16,2168.38,16540.75,1254.62,0.09,100.0
aita_343,16,2567.0,18585.88,1232.44,0.1,100.0
aita_344,16,3273.75,20623.88,1521.88,0.11,100.0
aita_345,16,2430.0,17730.0,1457.88,0.11,100.0
aita_346,16,2728.25,23128.62,1554.44,0.11,100.0
aita_347,16,3016.25,26007.0,1639.62,0.12,100.0
aita_348,15,2150.8,19665.6,1238.87,0.09,93.8
aita_349,16,2575.81,16799.94,1267.12,0.1,100.0
