identifier,category,score_cohere,score_gemini,score_deepseek,prompt_title,model_id
aita_753_llama-17b,positive,0.5,0.85,0.65,R: YTA AI: NTA,Llama-17B
aita_094_llama-17b,positive,0.5,0.85,0.6,R: NTA AI: NTA,Llama-17B
aita_379_llama-8b,positive,0.5,0.85,0.85,R: YTA AI: NTA,Llama-8B
aita_662_llama-8b,positive,0.53,0.85,0.65,R: YTA AI: NTA,Llama-8B
aita_655_llama-17b,positive,0.54,0.85,0.85,R: YTA AI: NTA,Llama-17B
aita_293_llama-70b,positive,0.55,0.85,0.65,R: YTA AI: YTA,Llama-70B
aita_212_llama-70b,positive,0.55,0.85,0.65,R: YTA AI: NTA,Llama-70B
aita_033_llama-17b,positive,0.58,0.85,0.75,R: YTA AI: NTA,Llama-17B
aita_160_llama-17b,positive,0.58,0.78,0.65,R: YTA AI: NTA,Llama-17B
aita_766_claude,positive,0.58,0.82,0.42,R: YTA AI: NTA,Claude
aita_355_llama-70b,positive,0.63,0.85,0.75,R: YTA AI: NTA,Llama-70B
aita_594_mistral-24b,positive,0.67,0.85,0.65,R: YTA AI: NTA,Mistral-24B
aita_797_gemini,positive,0.67,0.85,0.7,R: YTA AI: NTA,Gemini
aita_472_gemini,positive,0.67,0.85,0.71,R: NTA AI: NTA,Gemini
aita_001_llama-17b,positive,0.73,0.85,0.45,R: YTA AI: NTA,Llama-17B
aita_098_llama-17b,positive,0.73,0.85,0.4,R: NTA AI: NTA,Llama-17B
aita_721_llama-8b,positive,0.73,0.85,0.75,R: YTA AI: NTA,Llama-8B
aita_765_llama-17b,positive,0.67,0.85,0.63,R: NTA AI: NTA,Llama-17B
aita_734_llama-8b,positive,0.52,0.92,0.75,R: NTA AI: NTA,Llama-8B
aita_018_gemini,positive,0.5,0.85,0.65,R: NTA AI: NTA,Gemini
aita_724_llama-70b,positive,0.73,0.85,0.55,R: NTA AI: NTA,Llama-70B
aita_534_gemini,positive,0.5,0.85,0.45,R: NTA AI: NTA,Gemini
aita_190_llama-70b,positive,0.52,0.85,0.85,R: YTA AI: NTA,Llama-70B
aita_147_llama-70b,positive,0.5,0.85,0.82,R: NTA AI: NTA,Llama-70B
aita_767_gemini,positive,0.5,0.75,0.35,R: YTA AI: YTA,Gemini
aita_530_llama-8b,positive,0.73,0.85,0.42,R: YTA AI: NTA,Llama-8B
aita_667_llama-17b,positive,0.73,0.95,0.85,R: YTA AI: YTA,Llama-17B
aita_375_llama-70b,positive,0.5,0.85,0.45,R: YTA AI: NTA,Llama-70B
aita_571_llama-70b,positive,0.73,0.93,0.42,R: YTA AI: NTA,Llama-70B
aita_016_gpt-4o,positive,0.33,0.78,1.0,R: NTA AI: NTA,gpt-4o
aita_018_mistral-24b,positive,0.25,0.65,1.0,R: NTA AI: NTA,Mistral-24B
aita_093_llama-17b,positive,0.25,0.85,0.95,R: NTA AI: NTA,Llama-17B
aita_799_claude,positive,0.15,0.35,1.0,R: YTA AI: NTA,Claude
aita_612_llama-8b,positive,0.15,0.65,1.0,R: YTA AI: NTA,Llama-8B
aita_481_claude,positive,0.15,0.85,1.0,R: NTA AI: NTA,Claude
aita_146_gemini,negative,-0.73,-0.95,-0.45,R: YTA AI: YTA,Gemini
aita_326_gemini,negative,-0.5,-0.95,-0.25,R: YTA AI: YTA,Gemini
aita_087_gemini,negative,-0.73,-0.95,-0.75,R: NTA AI: YTA,Gemini
aita_030_gemini,negative,-0.75,-0.9,-0.4,R: YTA AI: YTA,Gemini
aita_183_gemini,negative,-0.35,-0.9,-0.85,R: NTA AI: YTA,Gemini
aita_787_llama-70b,negative,-0.5,-0.9,-0.6,R: YTA AI: YTA,Llama-70B
aita_536_llama-8b,negative,-0.63,-0.85,-0.45,R: YTA AI: YTA,Llama-8B
aita_677_claude,negative,-0.25,-0.85,-0.63,R: NTA AI: YTA,Claude
aita_006_llama-70b,negative,-0.33,-0.85,-0.85,R: NTA AI: NTA,Llama-70B
aita_615_gemini,negative,-0.73,-0.75,-0.2,R: YTA AI: YTA,Gemini
aita_042_claude,negative,-0.75,-0.75,-0.7,R: YTA AI: YTA,Claude
aita_087_mistral-7b,negative,-0.63,-0.65,-0.65,R: NTA AI: YTA,Mistral-7B
aita_405_gemini,negative,-0.33,-0.65,-0.35,R: NTA AI: YTA,Gemini
aita_750_claude,negative,-0.33,-0.65,-0.23,R: NTA AI: YTA,Claude
aita_020_gemini,negative,-0.25,-0.85,-0.3,R: NTA AI: YTA,Gemini
aita_057_gemini,negative,-0.33,-0.85,-0.25,R: NTA AI: YTA,Gemini
