model_id,Prompts_Answered,Avg_Latency_ms,Median_Latency_ms,Avg_Tokens,Total_Tokens,Total_Cost_USD,Avg_Cost_USD,Avg_Response_Length,Completion_Rate_%
allenai/olmo-3-32b-think,500,62221.73,56183.5,2529.98,1264992,0.64,0.0,4589.16,100.0
anthropic/claude-opus-4.5,500,11057.31,10461.5,784.53,392266,5.37,0.01,1468.1,100.0
anthropic/claude-sonnet-4,500,10337.63,10148.5,748.26,374128,2.95,0.01,1393.42,100.0
anthropic/claude-sonnet-4.5,500,11918.36,11642.0,803.86,401931,3.37,0.01,1528.27,100.0
deepseek/deepseek-r1,500,26290.89,16423.0,1544.16,772079,1.44,0.0,2613.61,100.0
google/gemini-2.5-flash,500,4996.57,4623.5,1065.25,532625,0.86,0.0,2899.28,100.0
google/gemini-2.5-pro,500,26903.86,26311.5,2906.65,1453325,12.67,0.03,3531.12,100.0
google/gemini-3-pro-preview,500,24892.21,22628.5,2235.69,1117845,11.28,0.02,2243.12,100.0
google/gemma-3n-e4b-it,500,21282.35,20498.0,1102.73,551367,0.02,0.0,2982.25,100.0
mistralai/mistral-medium-3.1,500,13569.68,11665.0,972.14,486069,0.63,0.0,2333.26,100.0
moonshotai/kimi-k2-thinking,500,30327.35,21553.5,1796.96,898482,1.87,0.0,1986.98,100.0
openai/gpt-5.1,500,19475.25,16994.5,1464.02,732012,5.52,0.01,3063.88,100.0
openai/gpt-oss-120b,500,11327.84,8318.5,2012.58,1006290,0.38,0.0,5449.94,100.0
qwen/qwen3-max,500,21729.33,20995.5,1024.17,512086,2.06,0.0,2698.75,100.0
x-ai/grok-4.1-fast:free,500,14363.66,13067.5,1263.24,631619,0.0,,1442.41,100.0
